date,home,away,box_score,game_id,play_by_play,score,team,play_description,player_name,outcome,inning,batting_team,pitching_team,sac,outs,away_score,home_score,X1B,X2B,X3B,O2B,O3B,X4B,O4B,On1B,On2B,On3B,outs_end,away_score_end,home_score_end,runs_scored,RBI,P,C,1B,2B,3B,SS,LF,CF,RF
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,1-0,away,"Lemus, A. homered to left field, inside the park, RBI (0-2).","Lemus, A.",Home Run,1,CSUN,Cal Poly,FALSE,0,1,0,NA,NA,NA,NA,NA,"Lemus, A.",NA,NA,NA,NA,0,1,0,1,1,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,1-0,away,"Swan, A. reached on a fielding error by ss (0-2).","Swan, A.",Reached on Error,1,CSUN,Cal Poly,FALSE,0,1,0,"Swan, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,1-0,away,"Favre, S. struck out swinging (0-2) Swan, A. out at second c to ss, caught stealing.","Favre, S.",Strike Out,1,CSUN,Cal Poly,FALSE,0,1,0,NA,NA,NA,"Swan, A.",NA,NA,NA,"Swan, A.",NA,NA,2,1,0,0,0,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,away,"Steward, J. homered to left field, RBI, unearned (3-2).","Steward, J.",Home Run,1,CSUN,Cal Poly,FALSE,2,1,0,NA,NA,NA,NA,NA,"Steward, J.",NA,NA,NA,NA,2,2,0,1,1,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,away,Crockett-Pop struck out swinging (2-2).,Crockett-Pop,Strike Out,1,CSUN,Cal Poly,FALSE,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,0,0,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,home,Frankenberge grounded out to 3b (2-1).,Frankenberge,Ground Out,1,Cal Poly,CSUN,FALSE,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,home,Ramos grounded out to p (1-2).,Ramos,Ground Out,1,Cal Poly,CSUN,FALSE,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,home,Jeffries popped up to 2b (0-0).,Jeffries,Pop Out,1,Cal Poly,CSUN,FALSE,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,away,"Usquiano, P. grounded out to 2b (0-2).","Usquiano, P.",Ground Out,2,CSUN,Cal Poly,FALSE,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,away,"Jamerson, K. walked (3-2).","Jamerson, K.",Walk,2,CSUN,Cal Poly,FALSE,1,2,0,"Jamerson, K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,away,"Kaeka, J. hit into double play 2b to 1b (1-1) Jamerson, K. out on the play.","Kaeka, J.",Double Play,2,CSUN,Cal Poly,FALSE,1,2,0,NA,NA,NA,NA,NA,NA,NA,"Jamerson, K.",NA,NA,3,2,0,0,0,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,home,"Amos, M. doubled to left center (2-2).","Amos, M.",Double,2,Cal Poly,CSUN,FALSE,0,2,0,NA,"Amos, M.",NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,home,Martin popped up to p (1-2).,Martin,Pop Out,2,Cal Poly,CSUN,FALSE,0,2,0,NA,"Amos, M.",NA,NA,NA,NA,NA,NA,"Amos, M.",NA,1,2,0,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,home,Diaz grounded out to 3b (1-2).,Diaz,Ground Out,2,Cal Poly,CSUN,FALSE,1,2,0,NA,"Amos, M.",NA,NA,NA,NA,NA,NA,"Amos, M.",NA,2,2,0,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,home,"Amos, L. struck out swinging (2-2).","Amos, L.",Strike Out,2,Cal Poly,CSUN,FALSE,2,2,0,NA,"Amos, M.",NA,NA,NA,NA,NA,NA,"Amos, M.",NA,3,2,0,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,away,"Rojas, J. lined out to 2b (1-0).","Rojas, J.",Line Out,3,CSUN,Cal Poly,FALSE,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,away,"Lemus, A. fouled out to ss (1-2).","Lemus, A.",Foul Out,3,CSUN,Cal Poly,FALSE,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,away,"Swan, A. singled to right center (0-0).","Swan, A.",Single,3,CSUN,Cal Poly,FALSE,2,2,0,"Swan, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,away,"Favre, S. grounded out to ss (1-2).","Favre, S.",Ground Out,3,CSUN,Cal Poly,FALSE,2,2,0,"Swan, A.",NA,NA,NA,NA,NA,NA,"Swan, A.",NA,NA,3,2,0,0,0,"Allman, Krystyna","Barrett, Kai","Martin, Hailey","Wulff, Sarah","Amos, Maddie","Diaz, Xiara","Amos, Lily","Ramos, Noellah","Frankenberger, Sydney"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,home,Barrett singled to right center (1-2).,Barrett,Single,3,Cal Poly,CSUN,FALSE,0,2,0,Barrett,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,home,Wulff reached on a fielders choice to shortstop (1-2) Barrett out at second ss to 2b.,Wulff,Fielder's Choice,3,Cal Poly,CSUN,FALSE,0,2,0,Wulff,NA,NA,Barrett,NA,NA,NA,Barrett,NA,NA,1,2,0,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,home,"Frankenberge singled to pitcher (0-0) Wulff advanced to second, advanced to third on a fielding error by 1b.",Frankenberge,Single,3,Cal Poly,CSUN,FALSE,1,2,0,Frankenberge,NA,Wulff,NA,NA,NA,NA,Wulff,NA,NA,1,2,0,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-0,home,Frankenberge stole second.,Frankenberge,Stolen Base,3,Cal Poly,CSUN,FALSE,1,2,0,NA,Frankenberge,Wulff,NA,NA,NA,NA,Frankenberge,NA,Wulff,1,2,0,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-2,home,"Ramos singled to second base, 2 RBI (2-0) Frankenberge scored, unearned Wulff scored, unearned.",Ramos,Single,3,Cal Poly,CSUN,FALSE,1,2,0,Ramos,NA,NA,NA,NA,Frankenberge & Wulff,NA,NA,Frankenberge,Wulff,1,2,2,2,2,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
2021-03-20T01:00:00Z,Cal Poly,CSUN,https://stats.ncaa.org/game/box_score/5031905,5031905,https://stats.ncaa.org/game/play_by_play/5031905,2-2,home,Jeffries lined out to cf (1-1).,Jeffries,Line Out,3,Cal Poly,CSUN,FALSE,1,2,2,Ramos,NA,NA,NA,NA,NA,NA,Ramos,NA,NA,2,2,2,0,0,"Jamerson, Kenedee","Kaeka, Jordan","Crockett-Pope, Kiarra","Usquiano, Paloma","Rojas, Journey","Swan, Aaliyah","Favre, Savannah","Steward, Jaymi","Garcia, Sami"
